columna,movieId,title,genres
81,83,Once Upon a Time... When We Were Colored (1995),Drama
82,84,Last Summer in the Hamptons (1995),Comedy|Drama
83,85,Angels and Insects (1995),Drama|Romance
84,86,White Squall (1996),Adventure|Drama
85,87,Dunston Checks In (1996),Children's|Comedy
86,88,Black Sheep (1996),Comedy
87,89,Nick of Time (1995),Action|Thriller
88,90,"Journey of August King, The (1995)",Drama
89,92,Mary Reilly (1996),Drama|Thriller
90,93,Vampire in Brooklyn (1995),Comedy|Romance
91,94,Beautiful Girls (1996),Drama
92,95,Broken Arrow (1996),Action|Thriller
93,96,In the Bleak Midwinter (1995),Comedy
94,97,"Hate (Haine, La) (1995)",Drama
95,98,Shopping (1994),Action|Thriller
96,99,Heidi Fleiss: Hollywood Madam (1995),Documentary
97,100,City Hall (1996),Drama|Thriller
98,101,Bottle Rocket (1996),Comedy
99,102,Mr. Wrong (1996),Comedy
100,103,Unforgettable (1996),Thriller
101,104,Happy Gilmore (1996),Comedy
102,105,"Bridges of Madison County, The (1995)",Drama|Romance
103,106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
104,107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical
105,108,Catwalk (1995),Documentary
106,110,Braveheart (1995),Action|Drama|War
107,111,Taxi Driver (1976),Drama|Thriller
108,112,Rumble in the Bronx (1995),Action|Adventure|Crime
109,113,Before and After (1996),Drama|Mystery
110,114,Margaret's Museum (1995),Drama
111,116,Anne Frank Remembered (1995),Documentary
112,117,"Young Poisoner's Handbook, The (1995)",Crime
113,118,If Lucy Fell (1996),Comedy|Romance
114,119,"Steal Big, Steal Little (1995)",Comedy
115,120,Race the Sun (1996),Drama
116,121,"Boys of St. Vincent, The (1993)",Drama
117,122,Boomerang (1992),Comedy|Romance
118,123,Chungking Express (1994),Drama|Mystery|Romance
119,124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
120,125,Flirting With Disaster (1996),Comedy
121,126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy
122,127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama
123,128,Jupiter's Wife (1994),Documentary
124,129,Pie in the Sky (1995),Comedy|Romance
125,130,Angela (1995),Drama
126,131,Frankie Starlight (1995),Drama|Romance
127,132,Jade (1995),Thriller
128,133,Nueba Yol (1995),Comedy|Drama
129,134,Sonic Outlaws (1995),Documentary
130,135,Down Periscope (1996),Comedy
131,136,From the Journals of Jean Seberg (1995),Documentary
132,137,Man of the Year (1995),Documentary
133,138,"Neon Bible, The (1995)",Drama
134,139,Target (1995),Action|Drama
135,140,Up Close and Personal (1996),Drama|Romance
136,141,"Birdcage, The (1996)",Comedy
137,142,Shadows (Cienie) (1988),Drama
138,144,"Brothers McMullen, The (1995)",Comedy
139,145,Bad Boys (1995),Action
140,146,"Amazing Panda Adventure, The (1995)",Adventure|Children's
141,147,"Basketball Diaries, The (1995)",Drama
142,148,"Awfully Big Adventure, An (1995)",Drama
143,149,Amateur (1994),Crime|Drama|Thriller
144,150,Apollo 13 (1995),Drama
145,151,Rob Roy (1995),Drama|Romance|War
146,152,"Addiction, The (1995)",Horror
147,153,Batman Forever (1995),Action|Adventure|Comedy|Crime
148,154,Belle de jour (1967),Drama
149,155,Beyond Rangoon (1995),Drama|War
150,156,Blue in the Face (1995),Comedy
151,157,Canadian Bacon (1994),Comedy|War
152,158,Casper (1995),Adventure|Children's
153,159,Clockers (1995),Drama
154,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
155,161,Crimson Tide (1995),Drama|Thriller|War
156,162,Crumb (1994),Documentary
157,163,Desperado (1995),Action|Romance|Thriller
158,164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
159,165,Die Hard: With a Vengeance (1995),Action|Thriller
160,166,"Doom Generation, The (1995)",Comedy|Drama
161,167,Feast of July (1995),Drama
162,168,First Knight (1995),Action|Adventure|Drama|Romance
163,169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama
164,170,Hackers (1995),Action|Crime|Thriller
165,171,Jeffrey (1995),Comedy
166,172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
167,173,Judge Dredd (1995),Action|Adventure|Sci-Fi
168,174,Jury Duty (1995),Comedy
169,175,Kids (1995),Drama
170,176,Living in Oblivion (1995),Comedy
171,177,Lord of Illusions (1995),Horror
172,178,Love & Human Remains (1993),Comedy
173,179,Mad Love (1995),Drama|Romance
174,180,Mallrats (1995),Comedy
175,181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's
176,182,Moonlight and Valentino (1995),Drama|Romance
177,183,Mute Witness (1994),Thriller
178,184,Nadja (1994),Drama
179,185,"Net, The (1995)",Sci-Fi|Thriller
180,186,Nine Months (1995),Comedy
181,187,Party Girl (1995),Comedy
182,188,"Prophecy, The (1995)",Horror
183,189,Reckless (1995),Comedy
184,190,Safe (1995),Thriller
185,191,"Scarlet Letter, The (1995)",Drama
186,192,"Show, The (1995)",Documentary
187,193,Showgirls (1995),Drama
188,194,Smoke (1995),Drama
189,195,Something to Talk About (1995),Comedy|Drama|Romance
190,196,Species (1995),Horror|Sci-Fi
191,197,"Stars Fell on Henrietta, The (1995)",Drama
192,198,Strange Days (1995),Action|Crime|Sci-Fi
193,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical
194,200,"Tie That Binds, The (1995)",Thriller
195,201,Three Wishes (1995),Drama
196,202,Total Eclipse (1995),Drama|Romance
197,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
198,204,Under Siege 2: Dark Territory (1995),Action
199,205,Unstrung Heroes (1995),Comedy|Drama
200,206,Unzipped (1995),Documentary
201,207,"Walk in the Clouds, A (1995)",Drama|Romance
202,208,Waterworld (1995),Action|Adventure
203,209,White Man's Burden (1995),Drama
204,210,Wild Bill (1995),Western
205,211,"Browning Version, The (1994)",Drama
206,212,Bushwhacked (1995),Comedy
207,213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama
208,214,Before the Rain (Pred dozhdot) (1994),Drama
209,215,Before Sunrise (1995),Drama|Romance
210,216,Billy Madison (1995),Comedy
211,217,"Babysitter, The (1995)",Drama|Thriller
212,218,Boys on the Side (1995),Comedy|Drama
213,219,"Cure, The (1995)",Drama
214,220,Castle Freak (1995),Horror
215,222,Circle of Friends (1995),Drama|Romance
216,223,Clerks (1994),Comedy
217,224,Don Juan DeMarco (1995),Comedy|Drama|Romance
218,225,Disclosure (1994),Drama|Thriller
219,226,Dream Man (1995),Thriller
220,227,Drop Zone (1994),Action
221,228,Destiny Turns on the Radio (1995),Comedy
222,229,Death and the Maiden (1994),Drama|Thriller
223,230,Dolores Claiborne (1994),Drama|Thriller
224,231,Dumb & Dumber (1994),Comedy
225,232,Eat Drink Man Woman (1994),Comedy|Drama
226,233,Exotica (1994),Drama
227,234,Exit to Eden (1994),Comedy
228,235,Ed Wood (1994),Comedy|Drama
229,236,French Kiss (1995),Comedy|Romance
230,237,Forget Paris (1995),Comedy|Romance
231,238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's
232,239,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance
233,240,Hideaway (1995),Thriller
234,241,Fluke (1995),Children's|Drama
235,242,Farinelli: il castrato (1994),Drama|Musical
236,243,Gordy (1995),Comedy
237,244,Gumby: The Movie (1995),Animation|Children's
238,245,"Glass Shield, The (1994)",Crime|Drama
239,246,Hoop Dreams (1994),Documentary
240,247,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller
241,248,Houseguest (1994),Comedy
242,249,Immortal Beloved (1994),Drama|Romance
243,250,Heavyweights (1994),Children's|Comedy
244,251,"Hunted, The (1995)",Action
245,252,I.Q. (1994),Comedy|Romance
246,253,Interview with the Vampire (1994),Drama|Horror
247,254,Jefferson in Paris (1995),Drama
248,255,"Jerky Boys, The (1994)",Comedy
249,256,Junior (1994),Comedy|Sci-Fi
250,257,Just Cause (1995),Mystery|Thriller
251,258,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance
252,259,Kiss of Death (1995),Crime|Drama|Thriller
253,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
254,261,Little Women (1994),Drama
255,262,"Little Princess, A (1995)",Children's|Drama
256,263,Ladybird Ladybird (1994),Drama
257,264,"Enfer, L' (1994)",Drama
258,265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance
259,266,Legends of the Fall (1994),Drama|Romance|War|Western
260,267,Major Payne (1994),Comedy
261,268,Little Odessa (1994),Drama
262,269,My Crazy Life (Mi vida loca) (1993),Drama
263,270,Love Affair (1994),Drama|Romance
264,271,Losing Isaiah (1995),Drama
265,272,"Madness of King George, The (1994)",Drama
266,273,Mary Shelley's Frankenstein (1994),Drama|Horror
267,274,Man of the House (1995),Comedy
268,275,Mixed Nuts (1994),Comedy
269,276,Milk Money (1994),Comedy|Romance
270,277,Miracle on 34th Street (1994),Drama
271,278,Miami Rhapsody (1995),Comedy
272,279,My Family (1995),Drama
273,280,Murder in the First (1995),Drama|Thriller
274,281,Nobody's Fool (1994),Drama
275,282,Nell (1994),Drama
276,283,New Jersey Drive (1995),Crime|Drama
277,286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller
278,287,Nina Takes a Lover (1994),Comedy|Romance
279,288,Natural Born Killers (1994),Action|Thriller
280,289,Only You (1994),Comedy|Romance
281,290,Once Were Warriors (1994),Crime|Drama
282,291,Poison Ivy II (1995),Thriller
283,292,Outbreak (1995),Action|Drama|Thriller
284,293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller
285,294,"Perez Family, The (1995)",Comedy|Romance
286,295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
287,296,Pulp Fiction (1994),Crime|Drama
288,297,Panther (1995),Drama
289,298,Pushing Hands (1992),Comedy
290,299,Priest (1994),Drama
291,300,Quiz Show (1994),Drama
292,301,Picture Bride (1995),Drama|Romance
293,302,Queen Margot (La Reine Margot) (1994),Drama|Romance
294,303,"Quick and the Dead, The (1995)",Action|Adventure|Western
295,304,Roommates (1995),Comedy|Drama
296,305,Ready to Wear (Pret-A-Porter) (1994),Comedy
297,306,Three Colors: Red (1994),Drama
298,307,Three Colors: Blue (1993),Drama
299,308,Three Colors: White (1994),Drama
300,309,"Red Firecracker, Green Firecracker (1994)",Drama
301,310,Rent-a-Kid (1995),Comedy
302,311,Relative Fear (1994),Horror|Thriller
303,312,Stuart Saves His Family (1995),Comedy
304,313,"Swan Princess, The (1994)",Animation|Children's
305,314,"Secret of Roan Inish, The (1994)",Drama
306,315,"Specialist, The (1994)",Action
307,316,Stargate (1994),Action|Adventure|Sci-Fi
308,317,"Santa Clause, The (1994)",Children's|Comedy|Fantasy
309,318,"Shawshank Redemption, The (1994)",Drama
310,319,Shallow Grave (1994),Thriller
311,320,Suture (1993),Film-Noir|Thriller
312,321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
313,322,Swimming with Sharks (1995),Comedy|Drama
314,324,"Sum of Us, The (1994)",Comedy
315,325,National Lampoon's Senior Trip (1995),Comedy
316,326,To Live (Huozhe) (1994),Drama
317,327,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi
318,328,Tales From the Crypt Presents: Demon Knight (1995),Horror
319,329,Star Trek: Generations (1994),Action|Adventure|Sci-Fi
320,330,Tales from the Hood (1995),Comedy|Horror
321,331,Tom & Viv (1994),Drama
322,332,Village of the Damned (1995),Horror|Sci-Fi
323,333,Tommy Boy (1995),Comedy
324,334,Vanya on 42nd Street (1994),Drama
325,335,"Underneath, The (1995)",Mystery|Thriller
326,336,"Walking Dead, The (1995)",Drama|War
327,337,What's Eating Gilbert Grape (1993),Drama
328,338,Virtuosity (1995),Sci-Fi|Thriller
329,339,While You Were Sleeping (1995),Comedy|Romance
330,340,"War, The (1994)",Adventure|Drama
331,341,Double Happiness (1994),Drama
332,342,Muriel's Wedding (1994),Comedy|Romance
333,343,"Baby-Sitters Club, The (1995)",Children's
334,344,Ace Ventura: Pet Detective (1994),Comedy
335,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
336,346,Backbeat (1993),Drama|Musical
337,347,Bitter Moon (1992),Drama
338,348,Bullets Over Broadway (1994),Comedy
339,349,Clear and Present Danger (1994),Action|Adventure|Thriller
340,350,"Client, The (1994)",Drama|Mystery|Thriller
341,351,"Corrina, Corrina (1994)",Comedy|Drama|Romance
342,352,Crooklyn (1994),Comedy
343,353,"Crow, The (1994)",Action|Romance|Thriller
344,354,Cobb (1994),Drama
345,355,"Flintstones, The (1994)",Children's|Comedy
346,356,Forrest Gump (1994),Comedy|Romance|War
347,357,Four Weddings and a Funeral (1994),Comedy|Romance
348,358,Higher Learning (1995),Drama
349,359,I Like It Like That (1994),Comedy|Drama|Romance
350,360,I Love Trouble (1994),Action|Comedy
351,361,It Could Happen to You (1994),Drama|Romance
352,362,"Jungle Book, The (1994)",Adventure|Children's|Romance
353,363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary
354,364,"Lion King, The (1994)",Animation|Children's|Musical
355,365,Little Buddha (1993),Drama
356,366,Wes Craven's New Nightmare (1994),Horror
357,367,"Mask, The (1994)",Comedy|Crime|Fantasy
358,368,Maverick (1994),Action|Comedy|Western
359,369,Mrs. Parker and the Vicious Circle (1994),Drama
360,370,Naked Gun 33 1/3: The Final Insult (1994),Comedy
361,371,"Paper, The (1994)",Comedy|Drama
362,372,Reality Bites (1994),Comedy|Drama
363,373,Red Rock West (1992),Thriller
364,374,Richie Rich (1994),Children's|Comedy
365,375,Safe Passage (1994),Drama
366,376,"River Wild, The (1994)",Action|Thriller
367,377,Speed (1994),Action|Romance|Thriller
368,378,Speechless (1994),Comedy|Romance
369,379,Timecop (1994),Action|Sci-Fi
370,380,True Lies (1994),Action|Adventure|Comedy|Romance
371,381,When a Man Loves a Woman (1994),Drama
372,382,Wolf (1994),Drama|Horror
373,383,Wyatt Earp (1994),Western
374,384,Bad Company (1995),Action
375,385,"Man of No Importance, A (1994)",Drama
376,386,S.F.W. (1994),Drama
377,387,"Low Down Dirty Shame, A (1994)",Action|Comedy
378,388,Boys Life (1995),Drama
379,389,"Colonel Chabert, Le (1994)",Drama|Romance|War
380,390,Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama
381,391,Jason's Lyric (1994),Crime|Drama
382,392,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Children's
383,393,Street Fighter (1994),Action
384,394,Coldblooded (1995),Action
385,396,Fall Time (1995),Drama
386,397,"Fear, The (1995)",Horror
387,398,Frank and Ollie (1995),Documentary
388,401,Mirage (1995),Action|Thriller
389,402,Open Season (1996),Comedy
390,404,Brother Minister: The Assassination of Malcolm X (1994),Documentary
391,405,Highlander III: The Sorcerer (1994),Action|Sci-Fi
392,406,Federal Hill (1994),Drama
393,407,In the Mouth of Madness (1995),Horror|Thriller
394,408,8 Seconds (1994),Drama
395,409,Above the Rim (1994),Drama
396,410,Addams Family Values (1993),Comedy
397,411,You So Crazy (1994),Comedy
398,412,"Age of Innocence, The (1993)",Drama
399,413,Airheads (1994),Comedy
400,414,"Air Up There, The (1994)",Comedy
401,415,Another Stakeout (1993),Comedy|Thriller
402,416,Bad Girls (1994),Western
403,417,Barcelona (1994),Comedy|Romance
404,418,Being Human (1993),Drama
405,419,"Beverly Hillbillies, The (1993)",Comedy
406,420,Beverly Hills Cop III (1994),Action|Comedy
407,421,Black Beauty (1994),Adventure|Children's
408,422,Blink (1994),Thriller
409,423,Blown Away (1994),Action|Thriller
410,424,Blue Chips (1994),Drama
411,425,Blue Sky (1994),Drama|Romance
412,426,Body Snatchers (1993),Horror|Sci-Fi|Thriller
413,427,Boxing Helena (1993),Mystery|Romance|Thriller
414,428,"Bronx Tale, A (1993)",Drama
415,429,Cabin Boy (1994),Comedy
416,430,Calendar Girl (1993),Drama
417,431,Carlito's Way (1993),Crime|Drama
418,432,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western
419,433,Clean Slate (1994),Comedy
420,434,Cliffhanger (1993),Action|Adventure|Crime
421,435,Coneheads (1993),Comedy|Sci-Fi
422,436,Color of Night (1994),Drama|Thriller
423,437,Cops and Robbersons (1994),Comedy
424,438,"Cowboy Way, The (1994)",Action|Comedy
425,439,Dangerous Game (1993),Drama
426,440,Dave (1993),Comedy|Romance
427,441,Dazed and Confused (1993),Comedy
428,442,Demolition Man (1993),Action|Sci-Fi
429,443,"Endless Summer 2, The (1994)",Documentary
430,444,Even Cowgirls Get the Blues (1993),Comedy|Romance
431,445,Fatal Instinct (1993),Comedy
432,446,Farewell My Concubine (1993),Drama|Romance
433,447,"Favor, The (1994)",Comedy|Romance
434,448,Fearless (1993),Drama
435,449,Fear of a Black Hat (1993),Comedy
436,450,With Honors (1994),Comedy|Drama
437,451,Flesh and Bone (1993),Drama|Mystery|Romance
438,452,Widows' Peak (1994),Drama
439,453,For Love or Money (1993),Comedy
440,454,"Firm, The (1993)",Drama|Thriller
441,455,Free Willy (1993),Adventure|Children's|Drama
442,456,Fresh (1994),Drama
443,457,"Fugitive, The (1993)",Action|Thriller
444,458,Geronimo: An American Legend (1993),Drama|Western
445,459,"Getaway, The (1994)",Action
446,460,Getting Even with Dad (1994),Comedy
447,461,Go Fish (1994),Drama|Romance
448,462,"Good Man in Africa, A (1994)",Action|Adventure
449,463,Guilty as Sin (1993),Crime|Drama|Thriller
450,464,Hard Target (1993),Action|Adventure|Crime|Thriller
451,465,Heaven & Earth (1993),Action|Drama|War
452,466,Hot Shots! Part Deux (1993),Action|Comedy|War
453,467,Live Nude Girls (1995),Comedy
454,468,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",Comedy|Romance
455,469,"House of the Spirits, The (1993)",Drama|Romance
456,470,House Party 3 (1994),Comedy
457,471,"Hudsucker Proxy, The (1994)",Comedy|Romance
458,472,I'll Do Anything (1994),Comedy|Drama
459,473,In the Army Now (1994),Comedy|War
460,474,In the Line of Fire (1993),Action|Thriller
461,475,In the Name of the Father (1993),Drama
462,476,"Inkwell, The (1994)",Comedy|Drama
463,477,What's Love Got to Do with It? (1993),Drama
464,478,Jimmy Hollywood (1994),Comedy
465,479,Judgment Night (1993),Action
466,480,Jurassic Park (1993),Action|Adventure|Sci-Fi
467,481,Kalifornia (1993),Drama|Thriller
468,482,Killing Zoe (1994),Thriller
469,483,King of the Hill (1993),Drama
470,484,Lassie (1994),Adventure|Children's
471,485,Last Action Hero (1993),Action|Comedy
472,486,Life with Mikey (1993),Comedy
473,487,Lightning Jack (1994),Comedy|Western
474,488,M. Butterfly (1993),Drama
475,489,Made in America (1993),Comedy
476,490,Malice (1993),Thriller
477,491,"Man Without a Face, The (1993)",Drama
478,492,Manhattan Murder Mystery (1993),Comedy|Mystery
479,493,Menace II Society (1993),Action|Crime|Drama
480,494,Executive Decision (1996),Action|Thriller
481,495,In the Realm of the Senses (Ai no corrida) (1976),Drama
482,496,What Happened Was... (1994),Comedy|Drama|Romance
483,497,Much Ado About Nothing (1993),Comedy|Romance
484,498,Mr. Jones (1993),Drama|Romance
485,499,Mr. Wonderful (1993),Comedy|Romance
486,500,Mrs. Doubtfire (1993),Comedy
487,501,Naked (1993),Drama
488,502,"Next Karate Kid, The (1994)",Action|Children's
489,503,"New Age, The (1994)",Drama
490,504,No Escape (1994),Action|Sci-Fi
491,505,North (1994),Comedy
492,506,Orlando (1993),Drama
493,507,"Perfect World, A (1993)",Action|Drama
494,508,Philadelphia (1993),Drama
495,509,"Piano, The (1993)",Drama|Romance
496,510,Poetic Justice (1993),Drama
497,511,"Program, The (1993)",Action|Drama
498,512,Robert A. Heinlein's The Puppet Masters (1994),Horror|Sci-Fi
499,513,Radioland Murders (1994),Comedy|Mystery|Romance
500,514,"Ref, The (1994)",Comedy
501,515,"Remains of the Day, The (1993)",Drama
502,516,Renaissance Man (1994),Comedy|Drama|War
503,517,Rising Sun (1993),Action|Drama|Mystery
504,518,"Road to Wellville, The (1994)",Comedy
505,519,Robocop 3 (1993),Sci-Fi|Thriller
506,520,Robin Hood: Men in Tights (1993),Comedy
507,521,Romeo Is Bleeding (1993),Crime|Thriller
508,522,Romper Stomper (1992),Action|Drama
509,523,Ruby in Paradise (1993),Drama
510,524,Rudy (1993),Drama
511,525,"Saint of Fort Washington, The (1993)",Drama
512,526,"Savage Nights (Nuits fauves, Les) (1992)",Drama
513,527,Schindler's List (1993),Drama|War
514,528,"Scout, The (1994)",Drama
515,529,Searching for Bobby Fischer (1993),Drama
516,530,Second Best (1994),Drama
517,531,"Secret Garden, The (1993)",Children's|Drama
518,532,Serial Mom (1994),Comedy|Crime|Horror
519,533,"Shadow, The (1994)",Action
520,534,Shadowlands (1993),Drama|Romance
521,535,Short Cuts (1993),Drama
522,536,"Simple Twist of Fate, A (1994)",Drama
523,537,Sirens (1994),Comedy|Drama
524,538,Six Degrees of Separation (1993),Drama
525,539,Sleepless in Seattle (1993),Comedy|Romance
526,540,Sliver (1993),Thriller
527,541,Blade Runner (1982),Film-Noir|Sci-Fi
528,542,Son in Law (1993),Comedy
529,543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
530,544,Striking Distance (1993),Action
531,545,Harlem (1993),Drama
532,546,Super Mario Bros. (1993),Action|Adventure|Children's|Sci-Fi
533,547,Surviving the Game (1994),Action|Adventure|Thriller
534,548,Terminal Velocity (1994),Action
535,549,Thirty-Two Short Films About Glenn Gould (1993),Documentary
536,550,Threesome (1994),Comedy|Romance
537,551,"Nightmare Before Christmas, The (1993)",Children's|Comedy|Musical
538,552,"Three Musketeers, The (1993)",Action|Adventure|Comedy
539,553,Tombstone (1993),Western
540,554,Trial by Jury (1994),Thriller
541,555,True Romance (1993),Action|Crime|Romance
542,556,"War Room, The (1993)",Documentary
543,557,Mamma Roma (1962),Drama
544,558,"Pagemaster, The (1994)",Action|Adventure|Animation|Children's|Fantasy
545,559,"Paris, France (1993)",Comedy
546,560,"Beans of Egypt, Maine, The (1994)",Drama
547,561,Killer (Bulletproof Heart) (1994),Thriller
548,562,Welcome to the Dollhouse (1995),Comedy|Drama
549,563,Germinal (1993),Drama
550,564,Chasers (1994),Comedy
551,565,Cronos (1992),Horror
552,566,Naked in New York (1994),Comedy|Romance
553,567,Kika (1993),Drama
554,568,Bhaji on the Beach (1993),Comedy|Drama
555,569,Little Big League (1994),Children's|Comedy
556,570,"Slingshot, The (Kådisbellan ) (1993)",Comedy|Drama
557,571,"Wedding Gift, The (1994)",Drama
558,572,Foreign Student (1994),Drama
559,573,"Ciao, Professore! (Io speriamo che me la cavo ) (1993)",Drama
560,574,Spanking the Monkey (1994),Comedy|Drama
561,575,"Little Rascals, The (1994)",Children's|Comedy
562,576,Fausto (1993),Comedy
563,577,Andre (1994),Adventure|Children's
564,578,"Hour of the Pig, The (1993)",Drama|Mystery
565,579,"Scorta, La (1993)",Thriller
566,580,Princess Caraboo (1994),Drama
567,581,"Celluloid Closet, The (1995)",Documentary
568,582,Metisse (Café au Lait) (1993),Comedy
569,583,Dear Diary (Caro Diario) (1994),Comedy|Drama
570,584,I Don't Want to Talk About It (De eso no se habla) (1993),Drama
571,585,"Brady Bunch Movie, The (1995)",Comedy
572,586,Home Alone (1990),Children's|Comedy
573,587,Ghost (1990),Comedy|Romance|Thriller
574,588,Aladdin (1992),Animation|Children's|Comedy|Musical
575,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller
576,590,Dances with Wolves (1990),Adventure|Drama|Western
577,591,Tough and Deadly (1995),Action|Drama|Thriller
578,592,Batman (1989),Action|Adventure|Crime|Drama
579,593,"Silence of the Lambs, The (1991)",Drama|Thriller
